"timestamp","heartrate"
2015-01-01 01:00:00,128
2015-01-01 01:39:06,89
2015-01-01 02:18:12,126
2015-01-01 02:57:18,87
2015-01-01 03:36:25,120
2015-01-01 04:15:31,75
2015-01-01 04:54:37,169
2015-01-01 05:33:43,73
2015-01-01 06:12:50,111
2015-01-01 06:51:56,100
2015-01-01 07:31:02,80
2015-01-01 08:10:08,84
2015-01-01 08:49:15,125
2015-01-01 09:28:21,140
2015-01-01 10:07:27,130
2015-01-01 10:46:33,95
2015-01-01 11:25:40,78
2015-01-01 12:04:46,72
2015-01-01 12:43:52,126
2015-01-01 13:22:58,87
2015-01-01 14:02:05,123
2015-01-01 14:41:11,73
2015-01-01 15:20:17,68
2015-01-01 15:59:23,63
2015-01-01 16:38:30,84
2015-01-01 17:17:36,117
2015-01-01 17:56:42,118
2015-01-01 18:35:48,102
2015-01-01 19:14:55,84
2015-01-01 19:54:01,67
2015-01-01 20:33:07,135
2015-01-01 21:12:13,112
2015-01-01 21:51:20,85
2015-01-01 22:30:26,142
2015-01-01 23:09:32,130
2015-01-01 23:48:38,142
2015-01-02 00:27:45,176
2015-01-02 01:06:51,116
2015-01-02 01:45:57,71
2015-01-02 02:25:03,76
2015-01-02 03:04:10,105
2015-01-02 03:43:16,151
2015-01-02 04:22:22,84
2015-01-02 05:01:28,83
2015-01-02 05:40:35,104
2015-01-02 06:19:41,103
2015-01-02 06:58:47,132
2015-01-02 07:37:53,80
2015-01-02 08:17:00,92
2015-01-02 08:56:06,81
2015-01-02 09:35:12,174
2015-01-02 10:14:18,136
2015-01-02 10:53:25,91
2015-01-02 11:32:31,90
2015-01-02 12:11:37,121
2015-01-02 12:50:43,103
2015-01-02 13:29:50,163
2015-01-02 14:08:56,107
2015-01-02 14:48:02,123
2015-01-02 15:27:08,97
2015-01-02 16:06:15,93
2015-01-02 16:45:21,141
2015-01-02 17:24:27,75
2015-01-02 18:03:33,72
2015-01-02 18:42:40,159
2015-01-02 19:21:46,74
2015-01-02 20:00:52,129
2015-01-02 20:39:58,139
2015-01-02 21:19:05,105
2015-01-02 21:58:11,98
2015-01-02 22:37:17,100
2015-01-02 23:16:23,109
2015-01-02 23:55:30,144
2015-01-03 00:34:36,125
2015-01-03 01:13:42,61
2015-01-03 01:52:48,128
2015-01-03 02:31:55,140
2015-01-03 03:11:01,115
2015-01-03 03:50:07,134
2015-01-03 04:29:13,151
2015-01-03 05:08:20,76
2015-01-03 05:47:26,139
2015-01-03 06:26:32,97
2015-01-03 07:05:38,80
2015-01-03 07:44:45,146
2015-01-03 08:23:51,110
2015-01-03 09:02:57,66
2015-01-03 09:42:03,104
2015-01-03 10:21:10,80
2015-01-03 11:00:16,86
2015-01-03 11:39:22,99
2015-01-03 12:18:28,89
2015-01-03 12:57:35,111
2015-01-03 13:36:41,79
2015-01-03 14:15:47,146
2015-01-03 14:54:53,121
2015-01-03 15:34:00,154
2015-01-03 16:13:06,103
2015-01-03 16:52:12,64
2015-01-03 17:31:18,65
2015-01-03 18:10:25,95
2015-01-03 18:49:31,68
2015-01-03 19:28:37,111
2015-01-03 20:07:43,90
2015-01-03 20:46:50,159
2015-01-03 21:25:56,86
2015-01-03 22:05:02,64
2015-01-03 22:44:08,121
2015-01-03 23:23:15,85
2015-01-04 00:02:21,92
2015-01-04 00:41:27,152
2015-01-04 01:20:34,152
2015-01-04 01:59:40,171
2015-01-04 02:38:46,151
2015-01-04 03:17:52,151
2015-01-04 03:56:59,68
2015-01-04 04:36:05,78
2015-01-04 05:15:11,126
2015-01-04 05:54:17,113
2015-01-04 06:33:24,166
2015-01-04 07:12:30,69
2015-01-04 07:51:36,137
2015-01-04 08:30:42,69
2015-01-04 09:09:49,90
2015-01-04 09:48:55,125
2015-01-04 10:28:01,140
2015-01-04 11:07:07,117
2015-01-04 11:46:14,70
2015-01-04 12:25:20,104
2015-01-04 13:04:26,69
2015-01-04 13:43:32,72
2015-01-04 14:22:39,85
2015-01-04 15:01:45,128
